name,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25
Acala-Swap,467877.3070799334,160166.80612972382,168178.94564832698,168917.63449800768,262732.0915846081,68894.27879812144,494819.91251255217,467714.2459484854,237738.3518596084,261483.9574302477,150634.02464571095,147817.68751202023,153196.90204475427,261868.67933305007,262709.1369307635,679229.2259966233,385715.5261195334,186143.3789522124,228774.3026018124,284099.67351336626,334033.4243699932,313586.47428663325,322150.33799964754,201685.7124162453,269185.8485497684,99834.98780104249,238391.0752971248,377850.9611070702,1884200.493295832,879300.7456046004
Aequinox,61.81495593115688,51.27451978251338,21.78868268802762,26.241760209202766,16.435953993350267,25.544380500912663,7.425567716360092,42.229092203080654,54.51690126210451,106.0375097580254,45.24635507911444,0.0,9.379214853048325,3.7046302780509,16.71403332427144,36.1266537681222,23.52064750343561,45.89533998817205,14.31344009935856,11.35155350342393,33.8119821511209,84.1123302206397,5.354051861912012,20.1196224167943,20.91793579608202,5.209040176123381,36.14115296304226,14.41537481546402,52.76196309924126,14.116809248924255
Aerodrome,1602371.828138025,2600647.533746091,4035741.161731413,1629011.1459133737,1140372.7879371792,1651128.6610151108,2058785.3361688184,1400511.0483808806,1614241.1122994495,2045322.2659075493,1143006.9365706393,1050721.6948956202,827040.2725765073,1804094.204786544,1292363.0431893584,7937797.54817369,3184749.538755196,1857136.711983716,718174.0831216171,834891.7449059031,2514430.30831713,927512.1904588998,1004865.7381834706,1525419.5583111856,1058228.0214885508,975808.6751054224,1085264.1243455228,2215133.332332319,2492831.002911542,1208496.4349660971
Agni-Finance,1297009.0428563815,2005446.1871001944,2759952.157385238,2529387.129298157,1572769.658387012,4011280.764478432,6156091.335865636,2850141.395351269,3579102.024852057,2665390.595927874,2129337.6397306034,1022175.4836973238,1769399.1219836036,3635923.54285542,1742245.9068558237,2276730.9626611536,2017445.085577984,2548328.9588562897,1518097.4834307998,1241297.905435674,4249108.308875245,2127402.7077684863,1640774.2187100744,2674140.5803886885,3786352.891672076,2556552.8380758646,2639842.5459879227,8843475.631713826,12277614.505437858,4386778.654662411
AirSwap,294254.0552256784,2078590.790623636,1937121.7249453403,1994435.7507292803,2125255.7536102952,1485545.8439935714,3336748.219728152,596907.0664750319,1982866.509942025,1878727.8456775807,2355528.759693715,1665437.9051941594,1359422.7215010622,2197946.216721165,2433231.7874189587,2040309.546200816,2759318.0221326123,2028512.5055190271,1866220.2389810188,1224649.6965168645,3219332.993340267,2212089.296915778,2751075.673556216,441278.79766181775,2660579.8633069103,2173439.525415041,1353686.2813406973,5377466.143758718,5387576.487951959,3080773.3960036514
Aldrin,18582.269705402483,25377.303493657106,27054.52838509581,42992.64393553083,23941.56666593057,25439.21829010038,23576.70399411224,17913.865848504545,36058.99873120124,54208.46227855969,79941.96926969753,18030.829615592007,28685.12252021357,24633.38342095482,585.1204144767358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEX,276738.47760884697,250120.95002473745,456168.79662381,300922.7847749698,210123.7739692668,364466.8963444772,698256.133151833,766128.2570174697,1210171.820010953,265455.13082084584,352605.8802274837,361906.9665697557,464602.9070298605,386227.6631907869,273822.42291636986,751005.7857473907,329501.82932434866,543896.0212169392,334257.5387254585,431239.49210298527,455356.4826016659,556512.574885106,394463.20373815286,7541.231637469999,35872.33819048,12350.21794974,7465.220011710001,35880.31669507,702798.6101365923,790585.1379540553
Algofi-Swap,86553.0,47543.0,87822.0,62589.0,114567.0,418800.0,329850.0,38960.0,53077.0,164894.0,646123.0,235572.0,90743.0,55587.0,25355.0,18651.0,45933.0,27352.0,19144.0,44019.0,3192.0,2107.0,5008.0,5295.0,19331.0,17675.0,10594.0,3171.0,3239.0,19671.0
AlienFi,88.81820483922523,71.92405330495222,545.4835321142593,1083.0347722971578,1765.205055053597,909.1845892073876,1670.882175249655,5779.732870026337,2731.532019412281,145.0011490633417,1393.3254714376576,913.5949232553776,3564.896540772438,294.214303256383,419.63450316781126,355.0764136839303,261.15086814430566,66.22782201277288,0.0,0.2932240598396264,82.11015419941577,43.2512590471949,21.558273331283875,24.67534143577297,290.90758789900144,61.08455012256253,32.6772517048464,253.54876054560285,281.2173064573763,108.81365809374948
Ambient,366056.6282056281,91862.29573480856,678679.0439996214,730801.5698341731,561016.3575497323,297035.9185332926,659665.3431975367,1140200.4385469446,179442.53586464925,440105.1491261632,398240.35604003497,562651.2099048551,166323.1667864987,247763.9072908632,826482.3063298285,435466.862295185,374155.1716110748,353292.012788406,413312.7460537014,82208.70291645882,79855.10861818306,1104537.0204235213,414774.1293215194,259151.70068426884,294679.9304074831,584479.8417605575,384135.0162934793,480841.861324297,1710256.155957057,1247957.6841374994
